model,accuracy,precision_macro,recall_macro,f1_macro
distilbert-base-uncased,0.303,0.3046477374313863,0.3110866493060129,0.3029760216061051
bert-base-uncased,0.307,0.310618576671135,0.312118814429241,0.3054886604428771
